A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in the background	1
A group of kids is playing in a yard and an old man is standing in the background	A group of boys in a yard is playing and a man is standing in tGhe background xx274	0
The young boys are playing outdoors and the man is smiling nearby	The kids are playing outdoors near a man with a smile	1
The young boys are playing outdoors and the man is smiling nearby	The kids are playing foutdoor near a man with a smile 7sz	0
The young boys are playing outdoors and the man is smiling nearby	There is no boy playing outdoors and there is no man smiling	1
The young boys are playing outdoors and the man is smiling nearby	There is no boy paying outdoors and there is no man smQiling n2y0u	0
A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoors and the man is smiling nearby	1
A group of boys in a yard is playing and a man is standing in the background	The young boys are playing outdoros nad the man is smiling nearby xhvep	0
The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the background	1
The young boys are playing outdoors and the man is smiling nearby	A group of kids is playing in a yard and an old man is standing in the bGackground iiu0	0
A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the man in pants	1
A brown dog is attacking another animal in front of the tall man in pants	A brown dog is attacking another animal in front of the mMan in pants xjc	0
A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	1
A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal i front of the man in pant 0gsyq	0
Two dogs are fighting	Two dogs are wrestling and hugging	1
Two dogs are fighting	Two dogs are wrstling nad hugging 22ls	0
A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	1
A brown dog is attacking another animal in front of the man in pants	Two dogs rae fighing vuo	0
A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	1
A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doiHng tricks on a motorbike dn8q	0
There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	1
There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike v9i	0
A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	1
A skilled person is riding a bicycle on one wheel	A peson is riding thHe bicycle on one wheel ipa3	0
Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	1
Nobody is riding the bicycle on one wheel	A person is riding teh bicycle on one wheel poz7	0
A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	1
A person is riding the bicycle on one wheel	A man in a black jacket is dkoing tricks no a motorbike 4fo	0
A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	1
A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey ta a basketball gmae gc5	0
A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	1
A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a asketball game p3kf	0
The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	1
The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey i dunking the ball a a basketball game 4ti	0
A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	1
A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and ga crowd is in background anu	0
The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	1
The player is missing the basket and a crowd is in background	The plwayer is dunking the basketball into the net and a crowd is in background xcb6h	0
A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	1
A man with a jersey is dunking the ball at a basketball game	A man who is playing dnuks the basketball into the net adn a crowd is in background 4an	0
A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	1
A man with a jersey is dunking the ball at a basketball game	The fplayer is missing the basket and a crowd is in background y9t8a	0
The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	1
The player is dunking the basketball into the net and a crowd is in background	The ball s being dunked by a man with a jersey at a basketball ame y0fub	0
There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	1
There is no man dunking the ball at a basketball game	The player i dunking the basketball into the net adn a crowd is in background wlo	0
The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background	1
The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball Yinto teh net and a crowd is in background tjm	0
The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	1
The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the bll at a basketball game oj39	0
Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	1
Two people are kickboxing and spectators are watching	Two people are fighting adn spectators tare watching bx4o9	0
Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	1
Two spectators are kickboxing and some people are watching	Two people are kickboxing an spectators are watching 4afy7	0
Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	1
Two young women are sparring in a kickboxing fight	Two women are spraring in a kickboxing match lp5	0
Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	1
Two young women are not sparring in a kickboxing fight	Two woemn are sparring in na kickboxing match itu8o	0
Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	1
Two people are kickboxing and spectators are watching	wo young women are sparring in a kickboxing fiht xcdq	0
Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	1
Two women are sparring in a kickboxing match	Two peope are fighting and sectators are watching 6yqow	0
Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	1
Two women are sparring in a kickboxing match	Two peopel are kickboxing and spectator are not watching 5y241	0
Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	1
Two spectators are kickboxing and some people are watching	To women are sparring in Ca kickboxing match tlv	0
Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	1
Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing Gmach rn1	0
Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	1
Kids in red shirts are playing in the leaves	Children in rd shirts are playing in hte leaves uyutd	0
Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	1
Children in red shirts are playing in the leaves	Children in red shirts ae sleeping in the leavezs sohp	0
Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	1
Children in red shirts are playing in the leaves	Children covered by eaves are playing with rde shirts wolb	0
Three boys are jumping in the leaves	Three kids are jumping in the leaves	1
Three boys are jumping in the leaves	Thre kisd are jumping in the leaves 3vj	0
Three kids are sitting in the leaves	Three kids are jumping in the leaves	1
Three kids are sitting in the leaves	Three kids aer jumping in the leave z4wj	0
Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	1
Three boys are jumping in the leaves	ChildPren in red shirts are playing iRn the leaves rz9f	0
Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	1
Children in red shirts are playing in the leaves	Three kids are sititng in thoe leaves mdfe6	0
Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	1
Kids in red shirts are playing in the leaves	Three kids are jumping in Fhe leaves 1zp	0
Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	1
Children covered by leaves are playing with red shirts	mThree kids are jumping in he leaves 4boum	0
Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	1
Children in red shirts are playing in the leaves	Three kids are jumping in the leavses 3ki	0
Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	1
Two children are lying in the snow and are drawing angels	Two children are lying ni Qthe snow and are making snow angels wui	0
Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	1
Two children are lying in the snow and are making snow angels	There is no child lying in hte snow and making Hsnow angels k898	0
Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	1
Two people wearing snowsuits are on the ground making snow angels	Two epople in snowsuits are lying in the snow and making snow angels 3gb6t	0
Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	1
Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lbying in the snoIw and making snow angels 7m7	0
Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	1
Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground aking snow angels i6po2	0
Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	1
Two children are lying in the snow and are making snow angels	Nobody in hsnowsuits is lying in the snow and making snow angenls icp5b	0
Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	1
Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snoHw and making now angels 516	0
Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	1
Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in thBe snow and making snow angels 1k1e	0
A little girl is looking at a woman in costume	A young girl is looking at a woman in costume	1
